Date,Daily New Cases,Log of Daily New Cases
09/11/2022,1313,3.118264726
08/11/2022,2801,3.447313109
07/11/2022,3564,3.551937695
06/11/2022,2804,3.447778009
05/11/2022,2215,3.345373731
04/11/2022,2655,3.424064525
03/11/2022,3199,3.50501424
02/11/2022,3567,3.552303109
01/11/2022,4055,3.607990859
31/10/2022,4615,3.664171705
30/10/2022,3821,3.582177038
29/10/2022,3219,3.507720977
28/10/2022,3907,3.591843411
27/10/2022,4367,3.640183192
26/10/2022,4896,3.689841409
25/10/2022,5142,3.711132072
24/10/2022,6127,3.78724788
23/10/2022,4996,3.69862243
22/10/2022,4515,3.654657755
21/10/2022,5733,3.758381942
20/10/2022,6058,3.782329269
19/10/2022,7017,3.846151477
18/10/2022,7646,3.883434294
17/10/2022,9281,3.967594773
16/10/2022,7243,3.859918485
15/10/2022,5991,3.77749932
14/10/2022,7327,3.864926192
13/10/2022,7546,3.877716801
12/10/2022,8113,3.909181476
11/10/2022,8775,3.943247125
10/10/2022,9824,3.992288354
09/10/2022,8013,3.903795143
08/10/2022,6578,3.818093869
07/10/2022,8327,3.920488565
06/10/2022,8796,3.944285221
05/10/2022,9491,3.977311973
04/10/2022,10185,4.007961033
03/10/2022,10851,4.035469763
02/10/2022,8584,3.933689709
01/10/2022,6561,3.816970038
30/09/2022,7089,3.850584976
29/09/2022,7335,3.865400118
28/09/2022,7770,3.890421019
27/09/2022,7607,3.881213416
26/09/2022,8021,3.904228516
25/09/2022,6724,3.827627705
24/09/2022,5306,3.724767246
23/09/2022,5997,3.777934049
22/09/2022,6289,3.798581595
21/09/2022,6916,3.839854985
20/09/2022,7195,3.857030798
19/09/2022,5701,3.755951041
18/09/2022,3937,3.595165415
17/09/2022,3176,3.501880494
16/09/2022,3700,3.568201724
15/09/2022,4177,3.620864475
14/09/2022,4404,3.64384731
13/09/2022,4559,3.658869592
12/09/2022,4677,3.66996737
11/09/2022,3870,3.587710965
10/09/2022,2855,3.455606113
09/09/2022,3099,3.491221576
08/09/2022,3250,3.511883361
07/09/2022,3743,3.573219827
06/09/2022,3931,3.594503044
05/09/2022,4383,3.641771471
04/09/2022,3759,3.575072326
03/09/2022,2970,3.472756449
02/09/2022,3235,3.509874285
01/09/2022,3760,3.575187845
31/08/2022,3964,3.598133646
30/08/2022,4473,3.650598898
29/08/2022,3936,3.59505509
28/08/2022,2881,3.459543258
27/08/2022,2586,3.412628521
26/08/2022,2987,3.475235223
25/08/2022,3253,3.512284063
24/08/2022,3894,3.590395947
23/08/2022,4015,3.60368555
