areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
United Kingdom,2022-05-19,72,178402
United Kingdom,2022-05-18,70,178330
United Kingdom,2022-05-17,94,178260
United Kingdom,2022-05-16,84,178166
United Kingdom,2022-05-15,89,178082
United Kingdom,2022-05-14,92,177993
United Kingdom,2022-05-13,95,177901
United Kingdom,2022-05-12,119,177806
United Kingdom,2022-05-11,108,177687
United Kingdom,2022-05-10,122,177579
United Kingdom,2022-05-09,114,177457
United Kingdom,2022-05-08,114,177343
United Kingdom,2022-05-07,136,177229
United Kingdom,2022-05-06,134,177093
United Kingdom,2022-05-05,141,176959
United Kingdom,2022-05-04,135,176818
United Kingdom,2022-05-03,143,176683
United Kingdom,2022-05-02,161,176540
United Kingdom,2022-05-01,178,176379
United Kingdom,2022-04-30,182,176201
United Kingdom,2022-04-29,183,176019
United Kingdom,2022-04-28,186,175836
United Kingdom,2022-04-27,192,175650
United Kingdom,2022-04-26,183,175458
United Kingdom,2022-04-25,189,175275
United Kingdom,2022-04-24,179,175086
United Kingdom,2022-04-23,207,174907
United Kingdom,2022-04-22,216,174700
United Kingdom,2022-04-21,208,174484
United Kingdom,2022-04-20,241,174276
United Kingdom,2022-04-19,206,174035
United Kingdom,2022-04-18,252,173829
United Kingdom,2022-04-17,258,173577
United Kingdom,2022-04-16,257,173319
United Kingdom,2022-04-15,250,173062
United Kingdom,2022-04-14,271,172812
United Kingdom,2022-04-13,295,172541
United Kingdom,2022-04-12,279,172246
United Kingdom,2022-04-11,261,171967
United Kingdom,2022-04-10,284,171706
United Kingdom,2022-04-09,265,171422
United Kingdom,2022-04-08,301,171157
United Kingdom,2022-04-07,289,170856
United Kingdom,2022-04-06,274,170567
United Kingdom,2022-04-05,269,170293
United Kingdom,2022-04-04,251,170024
United Kingdom,2022-04-03,266,169773
United Kingdom,2022-04-02,282,169507
United Kingdom,2022-04-01,256,169225
United Kingdom,2022-03-31,259,168969
United Kingdom,2022-03-30,243,168710
United Kingdom,2022-03-29,246,168467
United Kingdom,2022-03-28,230,168221
United Kingdom,2022-03-27,228,167991
United Kingdom,2022-03-26,219,167763
United Kingdom,2022-03-25,227,167544
United Kingdom,2022-03-24,216,167317
United Kingdom,2022-03-23,210,167101
United Kingdom,2022-03-22,225,166891
United Kingdom,2022-03-21,185,166666
United Kingdom,2022-03-20,202,166481
United Kingdom,2022-03-19,195,166279
United Kingdom,2022-03-18,208,166084
United Kingdom,2022-03-17,187,165876
United Kingdom,2022-03-16,184,165689
United Kingdom,2022-03-15,154,165505
United Kingdom,2022-03-14,181,165351
United Kingdom,2022-03-13,154,165170
United Kingdom,2022-03-12,144,165016
United Kingdom,2022-03-11,142,164872
United Kingdom,2022-03-10,154,164730
United Kingdom,2022-03-09,141,164576
United Kingdom,2022-03-08,147,164435
United Kingdom,2022-03-07,147,164288
United Kingdom,2022-03-06,131,164141
United Kingdom,2022-03-05,126,164010
United Kingdom,2022-03-04,132,163884
United Kingdom,2022-03-03,160,163752
United Kingdom,2022-03-02,161,163592
United Kingdom,2022-03-01,135,163431
United Kingdom,2022-02-28,145,163296
United Kingdom,2022-02-27,136,163151
United Kingdom,2022-02-26,134,163015
United Kingdom,2022-02-25,148,162881
United Kingdom,2022-02-24,166,162733
United Kingdom,2022-02-23,146,162567
United Kingdom,2022-02-22,144,162421
United Kingdom,2022-02-21,146,162277
United Kingdom,2022-02-20,167,162131
United Kingdom,2022-02-19,157,161964
United Kingdom,2022-02-18,159,161807
United Kingdom,2022-02-17,163,161648
United Kingdom,2022-02-16,168,161485
United Kingdom,2022-02-15,174,161317
United Kingdom,2022-02-14,192,161143
United Kingdom,2022-02-13,175,160951
United Kingdom,2022-02-12,165,160776
United Kingdom,2022-02-11,164,160611
United Kingdom,2022-02-10,183,160447
United Kingdom,2022-02-09,181,160264
United Kingdom,2022-02-08,190,160083
United Kingdom,2022-02-07,181,159893
United Kingdom,2022-02-06,213,159712
United Kingdom,2022-02-05,218,159499
United Kingdom,2022-02-04,195,159281
United Kingdom,2022-02-03,232,159086
United Kingdom,2022-02-02,248,158854
United Kingdom,2022-02-01,264,158606
United Kingdom,2022-01-31,257,158342
United Kingdom,2022-01-30,245,158085
United Kingdom,2022-01-29,262,157840
United Kingdom,2022-01-28,261,157578
United Kingdom,2022-01-27,300,157317
United Kingdom,2022-01-26,264,157017
United Kingdom,2022-01-25,247,156753
United Kingdom,2022-01-24,281,156506
United Kingdom,2022-01-23,255,156225
United Kingdom,2022-01-22,287,155970
United Kingdom,2022-01-21,303,155683
United Kingdom,2022-01-20,254,155380
United Kingdom,2022-01-19,281,155126
United Kingdom,2022-01-18,290,154845
United Kingdom,2022-01-17,296,154555
United Kingdom,2022-01-16,295,154259
United Kingdom,2022-01-15,298,153964
United Kingdom,2022-01-14,281,153666
United Kingdom,2022-01-13,285,153385
United Kingdom,2022-01-12,262,153100
United Kingdom,2022-01-11,270,152838
United Kingdom,2022-01-10,278,152568
United Kingdom,2022-01-09,272,152290
United Kingdom,2022-01-08,246,152018
United Kingdom,2022-01-07,251,151772
United Kingdom,2022-01-06,258,151521
United Kingdom,2022-01-05,214,151263
United Kingdom,2022-01-04,222,151049
United Kingdom,2022-01-03,178,150827
United Kingdom,2022-01-02,177,150649
United Kingdom,2022-01-01,182,150472
United Kingdom,2021-12-31,169,150290
United Kingdom,2021-12-30,192,150121
United Kingdom,2021-12-29,125,149929
United Kingdom,2021-12-28,167,149804
United Kingdom,2021-12-27,144,149637
United Kingdom,2021-12-26,117,149493
United Kingdom,2021-12-25,108,149376
United Kingdom,2021-12-24,126,149268
United Kingdom,2021-12-23,132,149142
United Kingdom,2021-12-22,126,149010
United Kingdom,2021-12-21,101,148884
United Kingdom,2021-12-20,124,148783
United Kingdom,2021-12-19,103,148659
United Kingdom,2021-12-18,108,148556
United Kingdom,2021-12-17,129,148448
United Kingdom,2021-12-16,107,148319
United Kingdom,2021-12-15,113,148212
United Kingdom,2021-12-14,128,148099
United Kingdom,2021-12-13,104,147971
United Kingdom,2021-12-12,122,147867
United Kingdom,2021-12-11,96,147745
United Kingdom,2021-12-10,109,147649
United Kingdom,2021-12-09,125,147540
United Kingdom,2021-12-08,113,147415
United Kingdom,2021-12-07,122,147302
United Kingdom,2021-12-06,137,147180
United Kingdom,2021-12-05,112,147043
United Kingdom,2021-12-04,147,146931
United Kingdom,2021-12-03,133,146784
United Kingdom,2021-12-02,108,146651
United Kingdom,2021-12-01,124,146543
United Kingdom,2021-11-30,96,146419
United Kingdom,2021-11-29,124,146323
United Kingdom,2021-11-28,120,146199
United Kingdom,2021-11-27,108,146079
United Kingdom,2021-11-26,132,145971
United Kingdom,2021-11-25,136,145839
United Kingdom,2021-11-24,116,145703
United Kingdom,2021-11-23,143,145587
United Kingdom,2021-11-22,120,145444
United Kingdom,2021-11-21,106,145324
United Kingdom,2021-11-20,130,145218
United Kingdom,2021-11-19,125,145088
United Kingdom,2021-11-18,136,144963
United Kingdom,2021-11-17,126,144827
United Kingdom,2021-11-16,153,144701
United Kingdom,2021-11-15,174,144548
United Kingdom,2021-11-14,129,144374
United Kingdom,2021-11-13,135,144245
United Kingdom,2021-11-12,149,144110
United Kingdom,2021-11-11,145,143961
United Kingdom,2021-11-10,149,143816
United Kingdom,2021-11-09,150,143667
United Kingdom,2021-11-08,156,143517
United Kingdom,2021-11-07,168,143361
United Kingdom,2021-11-06,170,143193
