Date,GRA Purchases,PRGT 1/2/,Totals,Date,World GDP (current prices (Billions of U.S. dollars),World GDP (current prices (U.S. dollars),Total Lending/World GDP,IMF Lending (% of World GDP)
08/31/2022,93769635059,15254184552,1.09024E+11,2022,103867.109,1.03867E+14,0.001049647,0.104964719
12/31/2021,89474552025,14554823681,1.04029E+11,2021,96292.574,9.62926E+13,0.001080347,0.108034682
12/31/2020,93408630285,12481816684,1.0589E+11,2020,85238.623,8.52386E+13,0.001242282,0.124228247
12/31/2019,66945509865,6590835450,73536345315,2019,87536.338,8.75363E+13,0.000840067,0.08400665
12/31/2018,55395611392,6426181029,61821792421,2018,86084.955,8.6085E+13,0.000718149,0.071814863
12/31/2017,39585385873,6522280669,46107666542,2017,80945.405,8.09454E+13,0.000569614,0.056961438
12/31/2016,49267630851,6482647937,55750278788,2016,76267.375,7.62674E+13,0.000730985,0.073098463
12/31/2015,50757840741,6575911158,57333751899,2015,75042.63,7.50426E+13,0.000764016,0.076401576
12/31/2014,69041563463,6292755583,75334319046,2014,79321.72,7.93217E+13,0.000949731,0.094973128
12/31/2013,83899249061,6174392682,90073641743,2013,77290.82,7.72908E+13,0.001165386,0.116538603
12/31/2012,90042348252,5766292503,95808640755,2012,75116.959,7.5117E+13,0.00127546,0.127545952
12/31/2011,87276915790,5308609594,92585525384,2011,73747.749,7.37477E+13,0.001255435,0.125543527
12/31/2010,55620104510,4819344134,60439448644,2010,66435.818,6.64358E+13,0.000909742,0.090974192
12/31/2009,37221142436,5079705286,42300847722,2009,60731.151,6.07312E+13,0.000696526,0.069652636
12/31/2008,17514964723,3972372030,21487336753,2008,64108.44,6.41084E+13,0.000335172,0.033517173
12/31/2007,6036146757,3796945581,9833092338,2007,58443.072,5.84431E+13,0.000168251,0.016825078
12/31/2006,9822640239,3844020520,13666660759,2006,51762.962,5.1763E+13,0.000264024,0.026402393
12/31/2005,28432143237,6282121668,34714264905,2005,47792.249,4.77922E+13,0.000726358,0.072635763
12/31/2004,55373766674,6766029353,62139796027,2004,44116.922,4.41169E+13,0.001408525,0.140852519
12/31/2003,65032062712,6880893268,71912955980,2003,39193.343,3.91933E+13,0.001834826,0.183482578
12/31/2002,63601058794,6868671012,70469729806,2002,34900.086,3.49001E+13,0.002019185,0.201918499
12/31/2001,53477225409,6424578684,59901804093,2001,33788.307,3.37883E+13,0.001772856,0.177285604
12/31/2000,42990531049,6331595468,49322126517,2000,34039.874,3.40399E+13,0.001448952,0.14489515
12/31/1999,51061861875,6434274362,57496136237,1999,32949.687,3.29497E+13,0.001744968,0.17449676
12/31/1998,60451017051,6288825925,66739842976,1998,31824.477,3.18245E+13,0.002097123,0.209712301
12/31/1997,46559033783,6009867422,52568901205,1997,31979.647,3.19796E+13,0.001643824,0.164382369
12/31/1996,36127472805,5881609752,42009082557,1996,32068.872,3.20689E+13,0.001309964,0.130996446
12/31/1995,35929173412,5657438528,41586611940,1995,31199.71,3.11997E+13,0.001332917,0.133291662
12/31/1994,25611676952,4599768498,30211445450,1994,27985.29,2.79853E+13,0.001079547,0.107954734
12/31/1993,25196745031,3942792899,29139537930,1993,26039.542,2.60395E+13,0.00111905,0.111904956
12/31/1992,23967172718,3804463796,27771636514,1992,25328.261,2.53283E+13,0.001096468,0.109646835
12/31/1991,23378573926,3285717796,26664291722,1991,24492.481,2.44925E+13,0.001088673,0.108867255
12/31/1990,20731851093,2571911617,23303762710,1990,23654.018,2.3654E+13,0.000985193,0.098519257
12/31/1989,22315104224,2334886562,24649990786,1989,20122.142,2.01221E+13,0.001225018,0.122501823
12/31/1988,24750004884,1773964293,26523969177,1988,19125.335,1.91253E+13,0.00138685,0.138684991
12/31/1987,28751979125,1866342930,30618322055,1987,17008.945,1.70089E+13,0.001800131,0.180013058
12/31/1986,33334905644,2013169931,35348075575,1986,14771.979,1.4772E+13,0.002392914,0.239291401
12/31/1985,35194787249,2470247948,37665035197,1985,12523.328,1.25233E+13,0.00300759,0.300758993
12/31/1984,34936772393,2769874900,37706647293,1984,11997.41,1.19974E+13,0.003142899,0.314289895
,,,,,,,,
,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,
,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,
,,,,,,,,
World GDP data from IMF: https://www.imf.org/external/datamapper/NGDPD@WEO/OEMDC/ADVEC/WEOWORLD?year=2022&yaxis=lin,,,,,,,,
