,Country,Population
1,China,1412600000
2,India,1375586000
3,United States,333329956
4,Indonesia,275773800
5,Pakistan,235825000
6,Nigeria,218541000
7,Brazil,215486475
8,Bangladesh,165158616
9,Russia,145100000
10,Mexico,128533664
11,Japan,125104000
12,Philippines,112786673
13,Ethiopia,105163988
14,Egypt,104166721
15,DR Congo,99010000
16,Vietnam,98506193
17,Iran,86001971
18,Turkey,84680273
19,Germany,84079811
20,France,67975000
21,United Kingdom,67081234
22,Thailand,66867967
23,Tanzania,61280743
24,South Africa,60604992
25,Italy,58853482
26,Myanmar,55294979
27,South Korea,51638809
28,Colombia,51049498
29,Kenya,47564296
30,Spain,47615034
31,Argentina,47327407
32,Algeria,45400000
33,Sudan,44972805
34,Uganda,42885900
35,Iraq,41190700
36,Ukraine,41130432
37,Canada,39035183
38,Poland,37979000
39,Morocco,36800752
40,Uzbekistan,35923798
41,Saudi Arabia,35013414
42,Yemen,33697000
43,Peru,33396698
44,Angola,33086278
45,Afghanistan,32890171
46,Malaysia,32756600
47,Mozambique,31616078
48,Ghana,30832019
49,Ivory Coast,29389150
50,Nepal,29192480
51,Venezuela,28302000
52,Madagascar,26923353
53,Australia,26011480
54,North Korea,25660000
55,Cameroon,24348251
56,Niger,24112753
57,Taiwan,23375314
58,Mali,22594000
59,Sri Lanka,22156000
60,Syria,22125000
61,Burkina Faso,21510181
62,Malawi,21507723
63,Chile,19828563
64,Kazakhstan,19364592
65,Romania,19038098
66,Zambia,18400556
67,Ecuador,18118528
68,Netherlands,17771860
69,Somalia,17598000
70,Senegal,17223497
71,Guatemala,17109746
72,Chad,16818391
73,Cambodia,15552211
74,Zimbabwe,15178979
75,South Sudan,13249924
76,Rwanda,12955768
77,Guinea,12907395
78,Burundi,12574571
79,Benin,12506347
80,Bolivia,12006031
81,Tunisia,11803588
82,Haiti,11743017
83,Belgium,11671737
84,Jordan,11358192
85,Cuba,11113215
86,Dominican Republic,10535535
87,Czech Republic,10525739
88,Sweden,10508669
89,Greece,10432481
90,Portugal,10344802
91,Azerbaijan,10204774
92,Hungary,9689000
93,Israel,9615740
94,Honduras,9546178
95,Tajikistan,9506000
96,United Arab Emirates,9282410
97,Belarus,9255524
98,Papua New Guinea,9122994
99,Austria,9090868
100,Switzerland,8770283
101,Sierra Leone,8494260
102,Togo,7886000
103,Hong Kong (China),7403100
104,Paraguay,7353038
105,Laos,7337783
106,El Salvador,6825935
107,Libya,6812000
108,Kyrgyzstan,6800000
109,Serbia,6797105
110,Nicaragua,6595674
111,Bulgaria,6520314
112,Turkmenistan,6431000
113,Congo,5970000
114,Denmark,5928364
115,Central African Republic,5633412
116,Finland,5528796
117,Lebanon,5490000
118,Norway,5475240
119,Singapore,5453600
120,Slovakia,5434712
121,Palestine,5227193
122,Costa Rica,5163038
123,New Zealand,5134411
124,Ireland,5123536
125,Kuwait,4670713
126,Liberia,4661010
127,Oman,4527446
128,Panama,4278500
129,Mauritania,4271197
130,Croatia,3871833
131,Georgia,3688600
132,Eritrea,3684000
133,Uruguay,3554915
134,Mongolia,3471049
